lon	lat	depth
-124.483425	42.119580	-19.661607
-124.477383	42.119592	-19.798580
-124.471341	42.119604	-19.961488
-124.465300	42.119615	-20.127747
-124.459258	42.119626	-20.258982
-124.453217	42.119637	-20.400189
-124.447175	42.119648	-20.547639
-124.441134	42.119658	-20.695129
-124.435092	42.119668	-20.823540
-124.429051	42.119678	-20.956482
-124.423009	42.119687	-21.089454
-124.416967	42.119696	-21.222442
-124.410926	42.119704	-21.342033
-124.404884	42.119713	-21.461643
-124.398843	42.119721	-21.581276
-124.392801	42.119728	-21.700930
-124.386759	42.119736	-21.813791
-124.380718	42.119743	-21.926687
-124.374676	42.119750	-22.039574
-124.368635	42.119756	-22.152453
-124.362593	42.119762	-22.266331
-124.652615	42.123605	-17.702542
-124.646573	42.123626	-17.766080
-124.640531	42.123647	-17.829627
-124.634489	42.123668	-17.891243
-124.628448	42.123688	-17.942660
-124.622406	42.123707	-17.994082
-124.616364	42.123727	-18.045509
-124.610322	42.123746	-18.080154
-124.604280	42.123765	-18.120243
-124.598238	42.123783	-18.160336
-124.592197	42.123801	-18.192417
-124.586155	42.123819	-18.217772
-124.580113	42.123837	-18.255295
-124.574071	42.123854	-18.291630
-124.568029	42.123871	-18.324645
-124.561987	42.123888	-18.357659
-124.555945	42.123904	-18.403991
-124.549903	42.123920	-18.462659
-124.543861	42.123935	-18.521517
-124.537819	42.123951	-18.580378
-124.531777	42.123966	-18.668125
-124.525736	42.123980	-18.765036
-124.519694	42.123995	-18.861957
-124.513652	42.124009	-18.977259
-124.507610	42.124023	-19.113789
-124.501568	42.124036	-19.250334
-124.495526	42.124049	-19.393315
-124.489484	42.124062	-19.570477
-124.483442	42.124074	-19.707306
-124.477400	42.124086	-19.844150
-124.471358	42.124098	-20.007054
-124.465316	42.124110	-20.173324
-124.459274	42.124121	-20.303231
-124.453232	42.124132	-20.443082
-124.447190	42.124142	-20.589160
-124.441148	42.124153	-20.735278
-124.435106	42.124162	-20.861180
-124.429064	42.124172	-20.991539
-124.423022	42.124181	-21.121929
-124.416980	42.124190	-21.252317
-124.410938	42.124199	-21.368661
-124.404896	42.124207	-21.485024
-124.398854	42.124215	-21.601411
-124.392812	42.124223	-21.717652
-124.386770	42.124230	-21.827344
-124.380727	42.124237	-21.937071
-124.374685	42.124244	-22.046691
-124.368643	42.124250	-22.156224
-124.362601	42.124257	-22.267405
-124.652644	42.128100	-17.726722
-124.646602	42.128121	-17.790547
-124.640560	42.128142	-17.854382
-124.634518	42.128162	-17.916268
-124.628475	42.128182	-17.967548
-124.622433	42.128202	-18.018832
-124.616391	42.128221	-18.070121
-124.610349	42.128240	-18.104369
-124.604306	42.128259	-18.144267
-124.598264	42.128278	-18.184169
-124.592222	42.128296	-18.215898
-124.586179	42.128314	-18.240765
-124.580137	42.128331	-18.278929
-124.574095	42.128349	-18.315858
-124.568052	42.128365	-18.349331
-124.562010	42.128382	-18.382806
-124.555968	42.128398	-18.431489
-124.549925	42.128414	-18.492515
-124.543883	42.128430	-18.553732
-124.537841	42.128445	-18.614951
-124.531798	42.128460	-18.704856
-124.525756	42.128475	-18.803982
-124.519713	42.128489	-18.903118
-124.513671	42.128503	-19.020763
-124.507629	42.128517	-19.157796
-124.501586	42.128530	-19.294845
-124.495544	42.128544	-19.438371
-124.489501	42.128556	-19.616304
-124.483459	42.128569	-19.753005
-124.477417	42.128581	-19.889720
-124.471374	42.128593	-20.052619
-124.465332	42.128604	-20.218899
-124.459289	42.128615	-20.347477
-124.453247	42.128626	-20.485974
-124.447204	42.128637	-20.630679
-124.441162	42.128647	-20.775425
-124.435119	42.128657	-20.898819
-124.429077	42.128667	-21.026595
-124.423034	42.128676	-21.154401
-124.416992	42.128685	-21.282191
-124.410950	42.128693	-21.395287
-124.404907	42.128702	-21.508403
-124.398865	42.128710	-21.621543
-124.392822	42.128717	-21.734371
-124.386780	42.128725	-21.840894
-124.380737	42.128732	-21.947452
-124.374695	42.128739	-22.053807
-124.368652	42.128745	-22.159992
-124.362610	42.128751	-22.268476
-124.652674	42.132594	-17.747834
-124.646631	42.132615	-17.812114
-124.640589	42.132636	-17.876405
-124.634546	42.132656	-17.938737
-124.628503	42.132676	-17.990113
-124.622461	42.132696	-18.041494
-124.616418	42.132716	-18.092880
-124.610375	42.132735	-18.127038
-124.604332	42.132754	-18.167070
-124.598290	42.132772	-18.207105
-124.592247	42.132790	-18.238840
-124.586204	42.132808	-18.263604
-124.580161	42.132826	-18.302796
-124.574119	42.132843	-18.340707
-124.568076	42.132860	-18.375037
-124.562033	42.132877	-18.409368
-124.555990	42.132893	-18.460799
-124.549947	42.132909	-18.524527
-124.543905	42.132924	-18.588443
-124.537862	42.132940	-18.652362
-124.531819	42.132955	-18.744685
-124.525776	42.132969	-18.846250
-124.519733	42.132984	-18.947825
-124.513691	42.132998	-19.067973
-124.507648	42.133012	-19.205587
-124.501605	42.133025	-19.343218
-124.495562	42.133038	-19.487349
-124.489519	42.133051	-19.666005
-124.483476	42.133063	-19.802528
-124.477433	42.133075	-19.939066
-124.471390	42.133087	-20.101849
-124.465348	42.133099	-20.268021
-124.459305	42.133110	-20.395151
